"Player","Team","REC","YDS","TDS","FL","FPTS"
"Tanner Hudson","CIN","9.2","90.4","0.7","0.0","22.4"
"Keleki Latu","BUF","8.6","83.6","0.6","0.0","20.5"
"Seydou Traore","MIA","8.1","78.7","0.7","0.0","19.8"
"Nick Kallerup","SEA","7.7","76.5","0.7","0.0","19.3"
"Ian Thomas","LV","8.2","73.4","0.6","0.0","18.8"
"Jared Wiley","KC","7.5","68.4","0.7","0.0","18.4"
"Tanner Koziol","JAC","7.0","73.8","0.6","0.0","18.1"
"Josh Cuevas","BAL","6.6","73.8","0.7","0.0","18.0"
"Sam Roush","CHI","6.8","72.4","0.6","0.0","17.9"
"Josh Whyle","GB","7.3","63.6","0.7","0.0","17.6"
"Kylen Granson","TEN","7.0","59.8","0.6","0.0","16.7"
"Grant Calcaterra","PHI","6.9","71.4","0.4","0.0","16.5"
"Brevyn Spann-Ford","DAL","6.4","61.6","0.6","0.0","16.0"
"Ko Kieft","TB","5.8","58.5","0.7","0.0","15.6"
"Chris Manhertz","NYG","6.2","59.6","0.6","0.0","15.5"
"Feleipe Franks","CAR","3.7","34.3","0.2","0.0","14.4"
"Lucas Krull","DEN","6.1","56.0","0.4","0.0","14.3"
"Justin Joly","MIA","4.5","44.0","0.5","0.0","11.9"
"Julian Hill","NE","4.1","41.9","0.3","0.0","9.9"
"Tip Reiman","ARI","4.3","41.5","0.2","0.0","9.9"
"Ben Sims","MIA","4.1","44.1","0.2","0.0","9.8"
"Luke Farrell","SF","4.0","37.7","0.3","0.0","9.4"
"David Martin-Robinson","TEN","4.1","34.7","0.3","0.0","9.3"
"Tyler Conklin","DET","3.8","35.5","0.3","0.0","9.2"
"Johnny Mundt","PHI","3.6","35.0","0.2","0.0","8.4"
"Carter Runyon","LV","3.7","35.4","0.2","0.0","8.2"
"Carsen Ryan","CLE","3.8","33.8","0.2","0.0","8.1"
"Drake Dabney","GB","1.8","4.2","0.3","0.0","4.2"
"Cole Turner","MIA","0.0","0.0","0.0","0.0","0.0"
"Jelani Woods","NYJ","0.0","0.0","0.0","0.0","0.0"
"CJ Dippre","TB","0.0","0.0","0.0","0.0","0.0"
"Joe Royer","CLE","0.0","0.0","0.0","0.0","0.0"
"Jackson Meeks","DET","0.0","0.0","0.0","0.0","0.0"
""
""
