"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jaylen Wright","MIA","76.8","300.9","1.5","12.1","88.0","0.3","1.3","59.1"
"Malik Davis","DAL","62.4","289.1","2.1","6.0","46.6","0.1","0.6","51.7"
"James Conner","ARI","35.6","133.7","1.1","14.1","107.7","0.9","0.0","49.8"
"Jonah Coleman","DEN","48.8","203.1","1.6","10.2","74.8","0.4","0.2","49.4"
"Kimani Vidal","LAC","51.6","206.3","1.4","9.4","80.5","0.5","0.1","49.2"
"Brashard Smith","KC","39.6","152.9","1.0","14.0","98.6","0.7","0.1","49.0"
"Zavier Scott","CHI","58.2","235.0","1.5","8.5","53.2","0.3","0.0","48.3"
"Jaleel McLaughlin","CLE","46.2","203.4","1.2","8.9","49.4","0.4","0.0","43.9"
"George Holani","SEA","44.2","173.3","1.3","9.5","68.1","0.4","0.1","43.5"
"Kyle Juszczyk","SF","9.1","32.1","0.2","17.3","152.6","1.0","0.1","43.1"
"Isaiah Davis","NYJ","31.9","153.9","1.0","10.4","80.4","0.3","0.1","41.4"
"LeQuint Allen Jr.","JAC","30.4","120.7","0.6","12.6","81.8","0.4","0.1","38.6"
"Adam Randall","BAL","31.0","169.5","1.0","6.5","70.5","0.5","0.5","38.5"
"Sean Tucker","TB","50.6","213.4","2.3","1.7","12.1","0.1","0.1","38.4"
"Jacob Saylors","DET","39.8","178.1","1.5","5.3","44.1","0.2","0.1","37.4"
"Robbie Ouzts","SEA","34.3","139.2","0.8","8.2","56.3","0.4","0.0","35.1"
"Roschon Johnson","CHI","34.0","116.0","3.0","3.0","18.0","0.0","0.0","34.4"
"DJ Giddens","IND","33.1","135.7","0.9","7.7","51.9","0.2","0.0","33.2"
"Israel Abanikanda","DAL","23.4","94.3","0.6","9.6","62.8","0.5","0.0","31.8"
"Devin Singletary","NYG","25.3","100.5","0.8","8.6","61.0","0.3","0.0","31.2"
"Hunter Luepke","DAL","11.3","47.1","0.3","11.5","81.5","0.5","0.1","29.4"
"Emmett Johnson","KC","35.4","147.1","1.1","3.5","27.9","0.1","0.1","28.3"
"Ollie Gordon II","MIA","36.4","134.5","1.0","4.7","33.9","0.1","0.1","28.3"
"Emari Demercado","DAL","29.4","166.2","0.4","4.5","34.3","0.1","0.1","27.1"
"Seth McGowan","IND","29.9","125.9","1.2","3.6","28.7","0.1","0.1","26.9"
"Rasheen Ali","BAL","16.2","64.5","0.3","7.6","57.3","0.6","0.0","25.0"
"Ray Davis","BUF","21.3","89.9","0.6","6.1","46.8","0.3","0.2","24.9"
"Ameer Abdullah","JAC","12.0","49.9","0.5","8.4","59.1","0.3","0.0","23.7"
"Nicholas Singleton","TEN","33.8","137.8","0.8","2.1","17.0","0.1","0.1","22.3"
"Kaytron Allen","WAS","25.8","114.7","0.7","3.3","25.2","0.1","0.0","22.2"
"Eli Heidenreich","PIT","29.0","117.0","1.0","2.0","21.0","0.0","0.0","21.8"
"Trevor Etienne","CAR","31.7","128.1","0.7","2.0","12.7","0.1","0.0","21.0"
"Patrick Ricard","NYG","7.7","32.4","0.2","8.1","57.8","0.3","0.0","20.6"
"Corey Kiner","NE","23.3","100.8","0.6","3.3","25.7","0.1","0.0","20.2"
"Demond Claiborne","MIN","21.6","96.7","0.7","3.3","25.2","0.1","0.0","20.2"
"Will Shipley","PHI","9.6","39.6","0.2","7.7","55.1","0.3","0.1","20.0"
"Trey Benson","ARI","20.9","86.0","0.4","4.6","31.5","0.2","0.0","19.9"
"Raheim Sanders","CLE","26.2","100.6","0.7","3.0","21.1","0.1","0.0","19.8"
"Kendre Miller","NO","23.5","96.2","0.7","3.2","22.1","0.1","0.0","19.3"
"Dylan Laube","LV","22.3","89.3","0.4","3.9","25.6","0.1","0.0","18.7"
"Alec Ingold","LAC","3.5","14.4","0.1","8.3","63.0","0.3","0.1","18.6"
"Audric Estime","NO","17.4","70.8","0.6","3.7","27.0","0.1","0.0","17.5"
