"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Trey Lance","LAC","18.7","11.4","124.1","0.8","0.6","2.2","8.6","0.0","0.1","8.3"
"Tyler Huntley","BAL","15.5","10.1","108.5","0.7","0.2","2.3","12.5","0.0","0.1","8.2"
"Spencer Rattler","NO","19.1","12.5","129.2","0.7","0.6","1.8","8.0","0.0","0.1","8.1"
"Joe Flacco","CIN","20.7","13.3","139.4","0.9","0.7","1.5","5.7","0.0","0.6","8.1"
"Drew Lock","SEA","17.4","11.0","123.0","0.7","0.6","2.1","8.7","0.0","0.1","8.0"
"Kyle McCord","MIA","18.1","11.7","123.9","0.8","0.8","1.6","6.8","0.0","0.1","8.0"
"Cade Klubnik","NYJ","17.9","11.4","119.2","0.8","0.5","1.4","6.2","0.0","0.1","7.9"
"Gardner Minshew II","ARI","19.4","12.2","125.9","0.7","0.3","1.6","5.9","0.0","0.1","7.9"
"Kyle Allen","BUF","18.5","11.1","122.4","0.8","0.5","1.5","2.7","0.0","0.1","7.8"
"Mitchell Trubisky","TEN","18.9","11.6","121.7","0.7","0.5","1.8","4.4","0.0","0.1","7.6"
"Sam Howell","DAL","17.1","10.6","111.1","0.8","0.5","0.6","3.5","0.0","0.1","7.4"
"Andy Dalton","PHI","15.0","10.1","109.3","0.7","0.2","2.5","11.5","0.0","1.0","6.2"
"Joe Milton III","DAL","12.0","7.5","88.5","0.5","0.5","2.0","11.0","0.0","0.0","6.1"
"Will Howard","PIT","13.0","8.0","93.0","0.5","0.5","1.0","3.5","0.0","0.0","5.6"
"Mason Rudolph","PIT","10.8","6.8","71.3","0.5","0.1","1.3","5.7","0.0","0.0","5.2"
"Stetson Bennett IV","LAR","9.0","5.5","67.5","0.5","0.0","1.0","5.0","0.0","0.0","5.2"
"Brady Cook","MIA","9.5","6.5","62.0","0.5","0.5","2.0","9.5","0.0","0.0","4.9"
"Josh Johnson","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nick Mullens","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Aidan O'Connell","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
