"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Jauan Jennings","MIN","43.9","503.3","4.4","0.0","0.0","0.0","0.7","119.0"
"Jaylin Noel","HOU","44.6","504.8","3.3","3.4","11.7","0.0","0.3","115.5"
"Malik Washington","MIA","47.5","455.5","2.4","10.4","60.5","0.5","0.8","115.3"
"Chris Bell","MIA","40.6","516.1","2.8","1.0","5.5","0.0","0.7","108.3"
"Omar Cooper Jr.","NYJ","40.5","489.9","3.0","1.4","8.3","0.0","0.7","106.9"
"Travis Hunter","JAC","38.1","451.6","3.1","2.0","10.8","0.1","0.4","102.2"
"Xavier Hutchinson","HOU","39.4","467.8","2.5","1.4","9.5","0.0","0.2","102.1"
"Jalen Tolbert","MIA","38.9","504.3","2.1","0.0","0.0","0.0","0.3","101.1"
"Devaughn Vele","NO","37.8","452.0","2.9","0.0","0.0","0.0","0.2","99.9"
"Tre' Harris","LAC","38.4","453.8","2.7","0.0","0.0","0.0","0.4","99.1"
"Germie Bernard","PIT","37.5","457.8","2.6","1.4","7.2","0.0","0.7","98.5"
"Troy Franklin","DEN","36.5","403.1","3.4","3.0","10.8","0.0","0.6","97.3"
"Dontayvion Wicks","PHI","36.5","434.0","2.8","0.3","1.7","0.0","0.2","96.3"
"Adonai Mitchell","NYJ","33.8","458.7","2.7","1.4","3.4","0.0","0.7","94.6"
"Jahan Dotson","ATL","36.0","432.8","2.5","0.0","0.0","0.0","0.3","93.5"
"Ja'Kobi Lane","BAL","28.6","424.9","3.8","1.0","5.7","0.0","0.7","93.2"
"Xavier Legette","CAR","36.6","401.4","2.4","1.0","5.4","0.0","0.4","91.3"
"Elic Ayomanor","TEN","31.3","387.5","3.4","0.0","0.0","0.0","0.0","90.1"
"DeMario Douglas","NE","34.4","415.6","2.1","2.1","10.7","0.1","0.4","89.5"
"Andrei Iosivas","CIN","29.7","375.4","2.7","7.6","34.3","0.2","0.1","88.3"
"John Metchie III","CAR","36.2","357.3","2.1","4.9","22.5","0.2","0.0","88.0"
"Marvin Mims Jr.","DEN","32.9","359.7","2.3","6.4","33.0","0.2","0.4","86.8"
"Jack Bech","LV","34.3","405.5","1.7","0.0","0.0","0.0","0.3","84.6"
"Tyquan Thornton","KC","24.6","414.4","3.0","0.0","0.0","0.0","0.1","83.8"
"Darnell Mooney","NYG","29.2","410.6","2.0","1.1","6.0","0.0","0.2","82.6"
"Darius Slayton","NYG","29.9","430.1","1.7","1.1","5.8","0.0","0.7","82.5"
"Antonio Williams","WAS","28.7","392.1","2.5","2.4","12.4","0.1","1.2","82.0"
"Zachariah Branch","ATL","31.4","381.7","1.9","0.0","0.0","0.0","0.3","80.3"
"Chimere Dike","TEN","28.8","276.9","3.0","9.8","36.5","0.3","0.6","78.4"
"Isaac TeSlaa","DET","24.5","331.9","3.5","0.0","0.0","0.0","0.1","78.2"
"KaVontae Turpin","DAL","24.5","309.4","2.3","13.6","73.7","0.4","0.4","78.0"
"Malachi Fields","NYG","29.9","362.3","2.0","0.0","0.0","0.0","0.3","77.6"
"Caleb Douglas","MIA","29.1","378.7","1.9","0.7","3.7","0.0","0.7","77.0"
"Christian Kirk","SF","28.7","346.3","2.0","0.0","0.0","0.0","0.0","75.4"
"Pat Bryant","DEN","28.5","319.7","2.1","4.6","20.9","0.2","0.3","75.3"
"Tory Horton","SEA","24.3","322.4","3.2","0.3","2.0","0.0","0.6","74.5"
"Hollywood Brown","PHI","26.1","320.5","2.6","0.0","0.0","0.0","0.1","73.5"
"Ted Hurst III","TB","26.1","337.5","2.3","0.7","4.3","0.0","0.6","73.0"
"Ryan Flournoy","DAL","27.0","305.9","2.2","1.1","6.2","0.1","0.4","70.9"
"Bryce Lance","NO","27.1","350.7","1.6","0.7","3.3","0.0","1.1","69.6"
"Olamide Zaccheaus","ATL","28.5","287.8","1.7","2.4","11.0","0.1","0.2","69.1"
"Jahdae Walker","CHI","22.5","288.5","2.7","0.3","2.3","0.0","0.0","68.0"
"Kevin Coleman Jr.","MIA","27.1","352.0","0.9","0.0","0.0","0.0","0.3","66.9"
"Joshua Palmer","BUF","24.2","326.9","1.5","0.0","0.0","0.0","0.1","65.9"
"Malik Benson","LV","26.8","316.1","1.5","0.7","2.7","0.0","1.1","65.3"
"Lil'Jordan Humphrey","DEN","24.6","287.4","1.9","0.0","0.0","0.0","0.0","64.7"
"Tutu Atwell","LAR","22.4","330.4","1.4","1.1","6.0","0.1","0.1","64.4"
"Keon Coleman","BUF","21.3","292.4","2.1","0.0","0.0","0.0","0.2","62.9"
"Mack Hollins","NE","23.3","293.8","1.7","0.0","0.0","0.0","0.2","62.5"
"Devontez Walker","BAL","18.1","287.6","2.1","0.0","1.0","0.0","0.1","59.1"
"Roman Wilson","PIT","22.6","267.5","1.5","0.0","0.0","0.0","0.1","58.3"
"Tank Dell","HOU","19.0","241.5","1.5","4.5","20.0","0.0","0.0","54.2"
"Kalif Raymond","CHI","20.8","236.0","1.3","2.3","13.4","0.1","0.2","53.3"
"Ashton Dulin","IND","15.3","271.2","1.1","4.9","37.9","0.1","0.1","53.2"
"Cyrus Allen","KC","19.4","245.0","1.5","0.0","0.0","0.0","0.2","52.7"
"Kendrick Bourne","ARI","21.7","249.1","1.0","0.0","0.0","0.0","0.2","52.1"
"Treylon Burks","WAS","17.6","232.6","1.4","0.0","0.0","0.0","0.1","49.0"
"Theo Wease Jr.","LAC","16.0","233.0","1.3","0.0","0.0","0.0","0.0","47.1"
"Tim Patrick","NYJ","17.3","224.5","1.2","0.0","0.0","0.0","0.0","47.0"
"Luke McCaffrey","WAS","14.8","207.6","1.9","0.0","0.0","0.0","0.0","46.7"
"Jordan Whittington","LAR","15.3","182.1","1.2","1.1","6.0","0.1","0.1","41.3"
"Isaiah Bond","CLE","14.8","191.4","0.9","2.1","11.8","0.1","0.2","40.9"
"Demarcus Robinson","SF","13.5","192.4","1.3","0.3","1.7","0.0","0.0","40.4"
"Jake Bobo","SEA","13.5","162.2","1.2","0.0","0.0","0.0","0.0","37.0"
"Dyami Brown","WAS","12.4","162.8","1.1","0.0","0.0","0.0","0.2","34.9"
"Jaylin Lane","WAS","12.2","146.5","0.9","0.0","0.0","0.0","0.1","32.2"
"KeAndre Lambert-Smith","LAC","11.9","139.8","0.9","0.0","0.0","0.0","0.1","31.3"
"Mason Tipton","NO","12.4","133.8","0.9","0.0","0.0","0.0","0.0","30.9"
"Tez Johnson","TB","10.2","117.0","0.9","4.6","22.8","0.2","0.1","30.7"
"Brennan Presley","LAR","11.4","132.6","1.0","0.0","0.0","0.0","0.0","30.3"
"Kyle Williams","NE","9.7","138.6","0.8","2.1","11.2","0.1","0.2","29.9"
"Colbie Young","CIN","10.6","131.2","1.0","0.0","0.0","0.0","0.1","29.5"
"Konata Mumpfield","LAR","10.7","127.1","1.0","0.0","0.0","0.0","0.1","29.4"
"Jimmy Horn Jr.","CAR","8.1","93.8","0.5","10.4","52.6","0.4","0.1","27.6"
"Brenen Thompson","LAC","9.5","121.7","0.7","2.1","11.3","0.1","0.1","27.4"
"Chris Blair","ATL","10.7","118.4","0.7","0.0","0.0","0.0","0.0","26.9"
"Jonathan Mingo","DAL","10.3","115.1","0.8","0.0","0.0","0.0","0.0","26.8"
"Jared Wayne","HOU","10.7","118.6","0.7","0.0","0.0","0.0","0.0","26.4"
"Xavier Smith","LAR","9.4","119.7","0.7","0.0","0.0","0.0","0.0","25.7"
"Savion Williams","GB","8.4","92.5","0.7","4.4","23.0","0.2","0.2","24.8"
"Odell Beckham Jr.","NYG","9.2","113.1","0.6","0.0","0.0","0.0","0.1","23.9"
"Jalen Royals","KC","8.5","104.5","0.8","0.0","0.0","0.0","0.1","23.4"
"Elijah Sarratt","BAL","7.8","107.5","0.7","0.0","0.0","0.0","0.1","22.7"
"Zavion Thomas","CHI","7.9","96.9","0.8","0.0","0.0","0.0","0.1","21.9"
"Tai Felton","MIN","8.8","97.6","0.6","0.0","0.0","0.0","0.0","21.9"
"Skyler Bell","BUF","7.9","103.2","0.6","0.0","0.0","0.0","0.1","21.7"
"Malachi Corley","CLE","6.6","68.5","0.3","7.9","44.1","0.2","0.1","20.9"
"David Moore","CAR","6.2","75.4","0.4","4.9","22.8","0.2","0.0","19.6"
"Efton Chism III","NE","7.3","91.3","0.5","0.0","0.0","0.0","0.0","19.5"
"Dont'e Thornton Jr.","LV","7.5","93.0","0.4","0.0","0.0","0.0","0.0","19.4"
"Simi Fehoko","ARI","7.2","94.2","0.5","0.0","0.0","0.0","0.0","19.4"
"Isaiah Williams","NYJ","7.5","73.6","0.3","3.6","18.4","0.1","0.1","19.0"
"Barion Brown","NO","7.2","91.4","0.4","0.0","0.0","0.0","0.1","18.8"
"Coleman Owen","IND","7.3","82.3","0.4","0.0","0.0","0.0","0.0","18.0"
"Ryan Miller","MIA","6.7","78.9","0.5","0.0","0.0","0.0","0.0","17.4"
"Laquon Treadwell","IND","7.1","78.3","0.4","0.0","0.0","0.0","0.1","17.2"
"Skyy Moore","GB","5.1","55.4","0.4","4.9","22.9","0.2","0.0","16.3"
"Tylan Wallace","CLE","6.4","76.5","0.3","0.0","0.0","0.0","0.0","16.1"
"Bo Melton","GB","5.1","65.8","0.4","2.2","12.7","0.1","0.1","15.9"
"Dareke Young","LV","6.5","75.3","0.3","0.0","0.0","0.0","0.0","15.9"
"Kameron Johnson","TB","5.1","59.0","0.4","1.1","6.0","0.1","0.0","14.6"
"Kaden Wetjen","PIT","5.2","57.0","0.4","1.1","5.8","0.0","0.0","13.8"
"Tay Martin","DET","3.4","40.7","0.3","4.7","25.7","0.3","0.1","13.2"
"Brycen Tremayne","CAR","5.0","54.3","0.3","0.0","0.0","0.0","0.0","12.0"
"Ben Skowronek","PIT","4.3","45.3","0.3","0.0","0.0","0.0","0.0","10.4"
"LaJohntay Wester","BAL","3.7","45.7","0.3","0.0","0.0","0.0","0.0","10.2"
"Dohnte Meyers","CIN","3.7","42.5","0.4","0.0","0.0","0.0","0.0","10.2"
"David Sills V","TB","3.6","39.1","0.4","0.0","0.0","0.0","0.0","9.6"
"Derius Davis","LAC","3.5","38.1","0.2","1.0","5.5","0.0","0.1","9.5"
"Jacob Cowing","SF","3.3","44.1","0.3","0.0","0.0","0.0","0.0","9.3"
"Devin Duvernay","ARI","3.9","39.5","0.2","0.0","0.0","0.0","0.0","9.2"
"Kevin Austin Jr.","NO","3.4","42.7","0.2","0.0","0.0","0.0","0.0","9.0"
"Josh Cameron","JAC","3.2","39.9","0.2","0.0","0.0","0.0","0.0","8.6"
"Darius Cooper","PHI","3.3","37.7","0.3","0.0","0.0","0.0","0.0","8.5"
"Reggie Virgil","ARI","3.4","39.2","0.1","0.0","0.0","0.0","0.0","8.1"
"Ke'Shawn Williams","CIN","2.0","23.4","0.2","2.2","10.1","0.1","0.0","6.8"
"Tyrell Shavers","BUF","1.8","23.5","0.1","0.0","0.0","0.0","0.0","5.0"
"Nikko Remigio","KC","1.8","21.5","0.2","0.0","0.0","0.0","0.0","4.8"
"Gunner Olszewski","NYG","1.8","21.9","0.1","0.0","0.0","0.0","0.0","4.7"
"Jalen Brooks","ARI","1.8","22.6","0.1","0.0","0.0","0.0","0.0","4.6"
"Arian Smith","NYJ","0.0","0.0","0.0","4.3","23.7","0.2","0.0","3.5"
"Jimmy Holiday","KC","0.8","2.8","0.2","0.0","0.0","0.0","0.0","2.1"
"Braxton Berrios","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Myles Price","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
